x,y,z
-4.970373333333333310e-01,-2.129895666666666632e+00,-2.848776666666666402e-01
-4.918764999999999943e-01,-2.155211500000000058e+00,-2.700814999999999744e-01
-4.979226666666667356e-01,-2.134287000000000045e+00,-2.666023333333333301e-01
-4.966420000000000279e-01,-2.090858499999999953e+00,-2.860739999999999950e-01
-4.990350000000000064e-01,-2.068222000000000005e+00,-2.941480000000000206e-01
-5.006209999999999827e-01,-2.104935499999999848e+00,-2.671275000000000177e-01
-5.031700000000000061e-01,-2.078843333333333376e+00,-2.641119999999999579e-01
-4.944420000000000481e-01,-2.023087999999999997e+00,-2.905949999999999922e-01
-4.988053333333333228e-01,-2.044157999999999920e+00,-2.709209999999999674e-01
-4.942639999999999811e-01,-1.951956999999999942e+00,-3.028799999999999826e-01
-4.952739999999999920e-01,-1.904455000000000009e+00,-3.039220000000000255e-01
-4.964205999999999896e-01,-1.982678799999999963e+00,-2.865871999999999864e-01
-4.978915000000000424e-01,-1.989593499999999793e+00,-2.707165000000000266e-01
-4.995550000000000268e-01,-1.955327999999999955e+00,-2.724429999999999907e-01
-4.976871999999999407e-01,-1.929557799999999990e+00,-2.907777999999999752e-01
-4.994770000000000043e-01,-1.895722000000000129e+00,-2.887210000000000054e-01
-4.991320000000000201e-01,-1.926874999999999893e+00,-2.718940000000000246e-01
-5.009799999999999809e-01,-1.895531000000000077e+00,-2.738309999999999911e-01
-1.635340000000000127e-01,-2.235074000000000005e+00,-2.852454999999999852e-01
-1.614949999999999997e-01,-2.267319000000000084e+00,-2.556570000000000231e-01
-1.741305789473684140e-01,-2.247900736842105118e+00,-2.651901052631579492e-01
-1.062270000000000020e-01,-2.236931999999999920e+00,-3.270509999999999806e-01
-8.686900000000000177e-02,-2.263488999999999862e+00,-3.054339999999999833e-01
-1.075930909090908882e-01,-2.242741363636363783e+00,-3.117608181818181667e-01
-8.757733333333332648e-02,-2.271733999999999920e+00,-2.931886666666666530e-01
-1.163488823529411631e-01,-2.247797882352940757e+00,-2.882006470588235336e-01
-9.619650000000000423e-02,-2.263028250000000074e+00,-2.667420000000000346e-01
-1.209715882352941085e-01,-2.247691235294117629e+00,-2.672494705882352828e-01
-1.887104374999999945e-01,-2.216696875000000233e+00,-3.120973750000000102e-01
-2.362970000000000070e-01,-2.191739999999999799e+00,-3.059180000000000232e-01
-1.888632142857142870e-01,-2.189585928571428752e+00,-3.113679999999999781e-01
-4.244570000000000287e-01,-2.131061333333333252e+00,-3.043859999999999899e-01
-3.484076249999999986e-01,-2.127004625000000093e+00,-3.071707499999999924e-01
-2.503540000000000210e-01,-2.153488999999999987e+00,-3.059190000000000520e-01
-2.173540000000000194e-01,-2.158155666666667027e+00,-3.116916666666666447e-01
-2.777752499999999736e-01,-2.132537916666666700e+00,-3.050262499999999988e-01
-1.850694999999999979e-01,-2.133202999999999960e+00,-3.094704999999999817e-01
-1.816751666666666376e-01,-2.221256111111111764e+00,-2.906288333333334473e-01
-2.398197999999999719e-01,-2.187447000000000141e+00,-2.918214000000000086e-01
-2.000631249999999806e-01,-2.193373062500000081e+00,-2.909084375000000056e-01
-2.373026000000000302e-01,-2.215927199999999875e+00,-2.693411999999999473e-01
-2.013399130434782580e-01,-2.219785652173912549e+00,-2.673632173913043086e-01
-2.466970000000000274e-01,-2.179519500000000054e+00,-2.674500000000000210e-01
-1.907477999999999951e-01,-2.195648199999999939e+00,-2.751364000000000032e-01
-4.451039999999999996e-01,-2.154585500000000486e+00,-2.883199444444444204e-01
-3.492919999999999914e-01,-2.152664166666667267e+00,-2.862098333333333300e-01
-4.504109285714286703e-01,-2.133246785714285831e+00,-2.919364999999999877e-01
-3.593168235294117441e-01,-2.134987176470588111e+00,-2.913542352941176361e-01
-4.487250769230769487e-01,-2.156582153846153815e+00,-2.672938076923076500e-01
-3.584262307692306915e-01,-2.155116692307692539e+00,-2.652990000000000070e-01
-3.658505882352940386e-01,-2.130702058823529033e+00,-2.658341176470588318e-01
-2.736667307692307038e-01,-2.158076230769230719e+00,-2.894770384615384384e-01
-3.091818749999999394e-01,-2.130028124999999939e+00,-2.914567499999999867e-01
-2.780361904761904368e-01,-2.163681333333334234e+00,-2.670757142857142497e-01
-3.093740000000000379e-01,-2.133793400000000062e+00,-2.673989999999999978e-01
-1.420490000000000086e-01,-2.188419999999999810e+00,-3.273909999999999876e-01
-1.230172499999999808e-01,-2.220760916666666862e+00,-3.114115833333333527e-01
-1.430916666666666726e-01,-2.185840666666666987e+00,-3.124543333333333339e-01
-1.464729999999999921e-01,-2.162275000000000169e+00,-3.192599999999999882e-01
-1.295330000000000092e-01,-2.222478222222222577e+00,-2.899585555555555527e-01
-1.091425000000000034e-01,-2.228152500000000202e+00,-2.667005000000000070e-01
-4.300708571428571436e-01,-2.100271571428570905e+00,-3.069934285714285283e-01
-3.595210000000000350e-01,-2.100698000000000398e+00,-3.073859999999999926e-01
-4.626080000000000192e-01,-2.077664500000000025e+00,-3.044700000000000184e-01
-3.626254444444444447e-01,-2.075661222222222158e+00,-3.091017777777777531e-01
-2.943319999999999825e-01,-2.105461500000000097e+00,-3.082739999999999925e-01
-3.725183333333332847e-01,-2.040452333333333090e+00,-3.074913333333333387e-01
-3.589742000000000210e-01,-2.012364199999999936e+00,-3.044192000000000009e-01
-3.067133333333333378e-01,-2.051172999999999913e+00,-3.114373333333333438e-01
-4.635059999999999181e-01,-2.107714285714286095e+00,-2.967559999999999643e-01
-3.821788999999999881e-01,-2.104762800000000489e+00,-2.919302000000000286e-01
-4.847664999999999891e-01,-2.076054499999999692e+00,-2.975164999999999615e-01
-3.785189999999999944e-01,-2.113630333333333056e+00,-2.738413333333333255e-01
-2.615370000000000195e-01,-2.099204999999999988e+00,-2.996449999999999947e-01
-2.475650000000000073e-01,-2.069326999999999916e+00,-2.973230000000000040e-01
-4.659236666666666804e-01,-2.037148666666666941e+00,-2.986543333333332995e-01
-3.596483999999999792e-01,-2.039676199999999717e+00,-2.953018000000000032e-01
-4.187699999999999756e-01,-2.012401999999999802e+00,-2.940454999999999597e-01
-3.775640000000000107e-01,-2.010018000000000082e+00,-3.003839999999999844e-01
-2.630230000000000068e-01,-2.042733333333333068e+00,-2.918823333333333547e-01
